,area,bedrooms,property_type,rooms,year_built
859,49,1,1,2,1886
860,231,9,0,12,1906
861,109,2,1,3,2000
862,95,1,1,2,1906
863,94,2,1,3,1992
864,66,2,1,4,1935
865,61,1,1,2,1998
866,69,2,1,3,1929
867,120,3,1,6,1923
868,146,4,0,5,2003
869,95,2,1,3,1996
870,122,3,1,5,1906
871,110,3,1,4,1928
872,29,1,1,1,1960
873,127,4,0,5,1953
874,89,3,1,5,1935
875,85,2,1,3,1990
876,50,2,1,3,1906
877,38,1,1,2,1906
878,60,1,1,2,1906
879,42,1,1,2,1981
880,72,2,1,3,1911
881,78,2,1,3,1916
882,67,2,1,3,1906
883,51,2,1,3,1934
884,47,1,1,2,1990
885,200,3,1,4,1988
886,62,2,1,3,1926
887,104,1,1,4,1887
888,113,3,1,5,1928
889,56,1,1,2,1960
890,189,4,0,6,1996
891,100,2,1,3,1997
892,55,1,1,2,1929
893,56,2,1,3,1924
894,25,1,1,1,1906
895,90,2,1,3,1968
896,117,2,1,4,1899
897,115,3,0,4,2003
898,90,3,1,4,1915
899,159,5,1,6,1906
900,59,2,1,3,1924
901,267,9,0,11,1906
902,129,3,1,5,1906
903,60,1,1,2,1982
904,88,2,1,3,1996
905,184,6,0,7,2010
906,45,1,1,2,1933
907,209,4,0,6,2006
908,130,4,1,5,1929
909,105,2,1,4,1930
910,145,4,0,5,1973
911,117,3,1,4,2005
912,86,2,1,4,1931
913,82,2,1,3,1906
914,77,2,1,3,2000
915,121,3,1,5,1934
916,39,1,1,2,1940
917,110,3,1,4,2010
918,69,2,1,4,1906
919,134,3,1,4,1969
920,101,3,1,4,1969
921,86,3,1,4,2007
922,78,2,1,3,1969
923,82,2,1,3,1976
924,50,1,1,2,1985
925,56,2,1,3,1934
926,144,3,1,5,1935
927,62,1,1,2,1953
928,92,3,0,4,1972
929,98,3,0,4,2001
930,27,1,1,2,1926
931,71,2,1,3,1922
932,52,1,1,2,1900
933,50,2,1,3,1931
934,80,2,1,3,1965
935,53,2,1,3,1934
936,50,1,1,2,1906
937,52,2,1,3,1895
938,62,2,1,4,1931
939,65,2,1,3,1910
940,32,1,1,2,1906
941,145,4,0,6,1966
942,57,1,1,2,1992
943,86,2,1,3,1998
944,92,2,0,4,1998
945,23,1,1,1,1906
946,246,4,0,5,2005
947,102,3,1,4,2010
948,56,2,1,3,1931
949,77,2,1,3,1968
950,60,1,1,2,1954
951,68,2,1,3,1983
952,55,2,1,3,1931
953,126,3,1,4,1940
954,134,3,0,4,2016
955,173,3,0,4,2016
956,42,1,1,2,1889
957,75,2,1,3,1902
958,54,1,1,2,1930
959,106,2,1,3,2006
960,134,3,0,4,2016
961,62,1,1,1,1893
962,28,1,1,1,1960
963,74,2,1,3,2007
964,55,1,1,2,1950
965,109,3,1,4,1914
966,32,1,1,2,1930
967,60,1,1,2,1962
968,65,3,1,4,1950
969,52,1,1,2,1906
970,53,2,1,3,1928
971,53,2,1,3,1906
972,55,1,1,3,1906
973,127,2,1,3,1996
974,67,2,0,4,1945
975,111,3,1,4,1906
976,48,1,1,2,1987
977,70,2,1,3,1931
978,58,1,1,2,1988
979,100,3,0,4,1996
980,94,3,1,4,1930
981,130,4,1,5,2001
982,86,3,1,4,1960
983,119,3,1,5,2012
984,55,1,1,2,1934
985,110,2,0,3,1995
986,90,2,0,3,1995
987,70,2,1,3,1922
988,52,2,1,3,1931
989,65,3,1,4,1957
990,77,2,1,3,1963
991,72,2,1,3,2009
992,120,4,0,5,1961
993,48,1,1,2,1953
994,121,3,1,4,1938
995,104,2,1,3,1890
996,90,2,1,3,1970
997,47,2,1,3,1940
998,41,1,1,1,1906
999,58,1,1,2,1906
1000,48,2,1,3,1934
1001,99,3,1,4,1935
1002,55,1,1,2,1981
1003,60,1,1,2,1983
1004,91,2,1,4,1931
1005,30,1,1,1,1963
1006,118,1,1,3,1928
1007,215,4,1,5,2008
1008,87,3,1,4,1982
1009,140,3,0,4,2017
1010,62,2,1,3,1882
1011,47,1,1,2,1957
1012,105,3,1,4,1906
1013,140,3,0,4,2017
1014,113,2,1,3,1906
1015,128,2,0,4,2010
1016,58,2,1,3,1932
1017,75,3,1,4,1966
1018,82,2,1,3,2007
1019,50,1,1,2,1960
1020,80,2,1,3,1963
1021,45,1,1,2,1929
1022,124,4,1,5,1970
1023,51,1,1,2,1940
1024,203,3,0,4,2017
1025,138,3,1,5,1906
1026,50,2,1,3,2007
1027,205,3,1,5,1906
1028,84,2,1,3,2010
1029,50,2,1,3,1925
1030,45,1,1,2,1900
1031,90,2,1,3,1930
1032,110,3,1,4,2009
1033,84,1,1,2,1906
1034,50,1,1,3,1935
1035,107,2,1,3,1906
1036,78,2,1,3,1963
1037,81,2,1,3,1990
1038,73,2,1,3,1930
1039,57,1,1,2,1931
1040,142,4,1,6,1928
1041,138,3,1,4,1906
1042,115,2,1,3,1998
1043,110,4,0,5,1984
1044,80,2,1,3,1982
1045,96,2,1,4,1905
1046,53,2,1,3,1938
1047,80,2,1,3,1906
1048,45,1,1,2,1914
1049,103,3,1,4,2008
1050,65,2,1,3,1953
1051,79,2,1,3,1949
1052,52,2,1,3,1945
1053,180,3,1,4,2016
1054,75,2,1,4,1925
1055,80,2,1,3,1906
1056,99,3,1,6,1930
1057,45,1,1,2,1985
1058,70,2,1,3,1906
1059,123,3,1,4,1930
1060,94,4,1,5,1982
1061,70,1,1,2,1858
1062,81,3,1,4,1982
1063,94,2,1,3,1937
1064,76,2,1,3,1939
